Deliver,Deliver_Count,DDay_mean,DDay_min,DDay_max,DNum_sum,DNum_mean,DNum_min,DNum_max,DNum_std,DNum_median,DNum_zero,DNum_meanM_x,DNum_minM_x,DNum_maxM_x,DNum_stdM_x,DNum_medianM_x,Receive_Count,RDay_mean,RDay_min,RDay_max,RNum_sum,RNum_mean,RNum_min,RNum_max,RNum_std,RNum_median,RNum_zero,RNum_meanM_y,RNum_minM_y,RNum_maxM_y,RNum_stdM_y,RNum_medianM_y
A,2,190.5,171,210,31276,165.4814815,42,420,98.51555621,129,22,3475.111111,85,6099,2350.058214,3579,4,204.5,137,259,51708,192.9402985,42,426,96.40094652,180.5,4,5745.333333,2513,7777,1765.567827,6199
B,1,67,67,67,12458,185.9402985,45,340,102.7830726,214,0,4152.666667,1746,5609,2099.533837,5103,1,66,66,66,15624,236.7272727,42,455,159.196883,252,0,5208,2214,8079,2934.434017,5331
C,4,135.75,48,208,18361,90.00490196,42,181,42.66186187,85,34,2040.111111,600,3387,960.060733,2116,2,175.5,151,200,13228,68.18556701,42,104,24.03681541,84.5,33,1469.777778,302,2143,676.2173796,1763
D,4,177,137,235,31135,130.8193277,42,303,79.95513592,127.5,22,3459.444444,983,5407,1723.589939,3553,4,210.5,169,258,52401,196.9962406,43,376,85.4378511,182.5,0,5822.333333,2434,7997,2071.628647,6171
E,1,168,168,168,14643,89.83435583,42,267,54.88655683,60,5,2091.857143,939,3505,1021.400416,2001,2,163.5,161,166,20055,121.5454545,42,224,53.41045099,109,8,2865,1053,4017,1084.227221,3020
G,7,239.4285714,173,269,287248,1067.836431,199,2081,521.283787,1182,0,31916.44444,21755,37850,4874.275257,32592,9,203.3333333,67,269,273737,1017.609665,149,2280,534.2257266,1023,0,30415.22222,18777,42582,6544.206097,30409
H,3,143,129,150,45866,286.6625,42,559,164.8603712,272,5,5733.25,42,12449,4560.201178,6157.5,3,142.6666667,136,150,47155,294.71875,42,531,144.9005372,328,2,5894.375,42,11418,4692.980105,6480
I,3,157,144,166,45100,259.1954023,43,538,142.0992765,208.5,0,6442.857143,1906,8923,2461.216056,7308,3,154,127,168,50855,292.2701149,42,720,167.9425704,234,0,7265,2505,10767,2815.151269,6904
J,4,196.75,136,254,99173,390.4448819,48,834,205.7548978,366.5,0,11019.22222,6953,15763,2902.79498,11488,4,195,150,251,98557,386.4980392,42,895,222.1310685,347,0,10950.77778,5223,16768,3758.970862,10695
K,3,201.3333333,142,249,74841,303,42,682,165.5442858,284,2,8315.666667,3679,12031,2945.646109,8356,3,194.6666667,129,230,71003,289.8081633,42,677,172.0594158,298,3,7889.222222,3818,12032,2780.207356,8417
L,10,215,150,269,296846,1087.347985,42,2411,563.0779513,1094,0,32982.88889,17641,43535,8818.455696,33903,10,224.9,150,269,311289,1140.252747,221,2268,537.2149571,1245,0,34587.66667,23572,41139,5942.797574,37050
M,5,157.4,137,169,52041,302.5639535,42,510,127.2618128,325,1,7434.428571,2622,10635,2791.027162,7551,4,160.25,138,173,47609,275.1965318,42,567,116.2355097,249,1,6801.285714,2676,9971,2556.241102,6312
N,3,233.3333333,173,265,62359,232.6828358,42,581,126.8596801,199,1,6928.777778,3197,9495,2377.549883,6875,5,155.2,48,237,44445,185.1875,42,499,123.0067618,151.5,8,4938.333333,1061,8044,2745.688347,4941
O,3,172.3333333,171,174,64986,373.4827586,55,859,226.4742511,282.5,0,9283.714286,2979,14098,3877.144212,9636,6,157.8333333,130,173,87091,503.416185,85,1132,279.125691,475,0,12441.57143,3412,18551,5283.643845,12778
P,1,172,172,172,15419,89.64534884,42,164,38.52343149,87,0,2202.714286,943,3081,769.000805,2240,1,172,172,172,13357,78.57058824,42,136,27.06049031,78.5,2,1908.142857,870,2647,656.7689671,1921
Q,5,188.6,131,259,60654,230.6235741,42,612,164.4919281,173,9,6739.333333,1866,11112,3406.365915,6829,5,198.4,126,264,81076,304.7969925,42,949,223.7114469,233.5,5,9008.444444,1563,14218,4840.251417,9466
R,5,212.2,168,255,109685,415.4734848,42,1133,309.6860413,288,5,12187.22222,3161,20056,6351.458057,12837,5,197.8,161,245,91333,344.6528302,42,1060,288.160191,218,6,10148.11111,2248,18047,5848.313356,10431
S,5,150.2,126,169,56714,335.5857988,86,648,119.2754666,363,0,8102,1955,11285,3763.373398,10064,2,156,144,168,37140,219.7633136,42,411,103.6297936,228,0,5305.714286,1197,7435,2538.804753,6193
U,4,156.25,130,173,40548,237.122807,42,431,111.2861817,241,4,5792.571429,2277,8446,2111.124807,6464,2,155.5,149,162,24339,148.4085366,42,265,65.66281353,166.5,4,3477,886,5234,1476.761208,3442
V,6,222.1666667,163,264,164403,622.7386364,68,1218,302.5746614,667.5,1,18267,9987,25641,4605.60984,18548,6,221.3333333,167,265,192823,727.6339623,120,1478,369.6025993,784,0,21424.77778,12174,29713,5151.640534,21547
W,3,158,135,174,69505,399.454023,48,967,262.1340734,324,0,9929.285714,3106,12877,3767.081218,12158,3,159.6666667,137,174,77336,444.4597701,43,981,277.4477112,365.5,0,11048,3509,15261,4069.3162,12472
X,4,225.5,168,263,89437,338.7765152,45,1090,265.191715,262.5,0,9937.444444,5049,22547,5514.280373,6913,5,184.2,67,240,84303,323,42,1371,346.1417118,147,3,9367,2618,29856,8427.375066,9035
Y,3,193.6666667,137,232,52758,218.0082645,42,506,130.1497698,193.5,4,5862,3607,9370,1933.694779,5317,2,179,135,223,41811,185.8266667,42,576,143.7304372,128,9,4645.666667,1690,8849,2193.662634,4987
